Ticket no. +,Information Source,Condition Code,Condition Code Priority,Time Remaining ( Minutes ),Priority+,VTS Customer Type,Serv. Level,First_Accepted_User,Reporting Organization +,Destination Country+,LCR Destination,Fault Start Date (UTC)+,Last-modified-by,Fault Category,Fault Symptom,Support Group,User,Fault Summary,Carrier Ticket No,Fault Organization Name +,Rep. Org. Abbr.+,Ref. Report Org. No.
NET01764894,Complaint,Impaired,P3,1074,730,Carrier,Prime,,TEUTONIC HOLDINGS LLC,GERMANY,GERMANY - OTHER,16/06/2017 4:06,AR_ESCALATOR,COMPL- SAP,DEAD AIR,GNMCFMGT,,,,,PHPOW,2967491-6596
NET01764968,Complaint,Impaired,P3,1426,720,RSP & Hybrid,Prime,,MCI WORLDCOM,HAITI,HAITI - DIGICEL MOBILE,16/06/2017 9:49,PRAHANE,COMPL- SNP,WRONG NO,GNMCFMGT,,,,,MCI,2.02E+12
NET01764974,Complaint,Impaired,P3,1582,780,Carrier,Preferred,,MEGA TARGET COMMUNICATION LIMITED,PHILIPPINES,PHILIPPINES - SMART MOBILE,16/06/2017 10:19,PRAHANE,COMPL- ASR,LOW ASR,GNMCFMGT,,,,,METAR,na
NET01764881,Complaint,Impaired,P4,1635,930,Carrier,Preferred,,SIPSTATUS CORP,MALI,MALI - ORANGE MOBILE,16/06/2017 3:31,AR_ESCALATOR,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,IPSRL,27596
NET01764656,Complaint,Impaired,P4,1906,970,RSP & Hybrid,Budget,,FREE,ARMENIA,ARMENIA - VIVA CELL MOBILE,15/06/2017 19:43,AR_ESCALATOR,COMPL- SAP,DEAD AIR,GNMCFMGT,,,,,FREE,9612
NET01764978,Complaint,Impaired,P2,402,300,Mobile,Prime,,TELIKOM PNG LTD,PAPUA N.G.,PAPUA NEW GUINEA - ALL COUNTRY,16/06/2017 10:41,VSARASWA,COMPL- SNP,UNALLTED NO,GNMCFMGT,,,,,PTPAP,20170426-00371
NET01764584,Complaint,Impaired,P3,449,730,Carrier,Prime,,"8X8, INC",UKRAINE,UKRAINE - ASTELIT MOBILE,15/06/2017 17:26,SMAWA,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,XINNI,151643
NET01764935,Complaint,Impaired,P1,458,330,RSP & Hybrid,Prime,,FREE,COLOMBIA,COLOMBIA - CALI ETB,16/06/2017 7:36,AR_ESCALATOR,COMPL- SNP,CAN'T REACH,GNMCFMGT,,,,,ACOMN,9431151
NET01764996,Complaint,Impaired,P1,699,330,RSP & Hybrid,Prime,,BEZEQ INTERNATIONAL LTD,SWEDEN,SWEDEN - TELIA MOBILE,16/06/2017 11:37,REGP System,QUALITY,SUPERVISION,GNMCFMGT,,,,,TCISR,303589
NET01764926,Complaint,Impaired,P2,764,490,RSP & Hybrid,Prime,,TELEFONICA GERMANY GMBH & CO. OHG,IRAQ,IRAQ - KOREKTEL MOBILE,16/06/2017 6:44,REGP System,QUALITY,CLI,GNMCFMGT,,,,,TEDEU,INC000000765413
NET01765000,Complaint,Impaired,P1,939,450,RSP & Hybrid,Preferred,,ASIA TELECOM LIMITED,INDONESIA,INDONESIA - TELKOMSEL MOBILE,16/06/2017 11:51,PRAHANE,QUALITY,PDD,GNMCFMGT,,,,,ASIEL,1021404
